,budget,gross,runtime,score,votes,Year_Released
1832,35589876,2415312,84,4.3,406,1990
1833,35589876,1547867,82,4.4,694,1990
1834,35589876,1305887,91,5.6,1400,1990
1835,11000000,1794001,107,6.2,1700,1990
1836,9000000,2544504,109,5.7,1200,1990
1837,35589876,78500541,94,7,930,1990
1838,42000000,78500541,125,7,958,1991
1839,35589876,59227,93,5.8,1000,1990
1840,35589876,774048,112,7.6,3000,1991
1841,35589876,2293625,92,7.3,2500,1991
1842,35589876,78500541,90,6.5,1300,1990
1843,102000000,520881154,137,8.5,1000000,1991
1844,24000000,83531958,122,7.3,166000,1991
1845,19000000,272742922,118,8.6,1300000,1991
1846,70000000,300854823,142,6.8,240000,1991
1847,6500000,57529070,112,7.8,130000,1991
1848,35000000,182291969,128,7.3,180000,1991
1849,35589876,11336986,83,5.9,12000,1991
1850,30000000,191502426,99,6.9,140000,1991
1851,16500000,45456285,130,7.5,142000,1991
1852,2000000,33616692,106,7.6,118000,2001
1853,48000000,390493908,143,6.9,182000,1991
1854,38000000,34416893,140,7.2,86000,1991
1855,25000000,424967620,84,8,424000,1991
1856,11000000,119418501,130,7.7,69000,1992
1857,40000000,205405498,189,8,146000,1991
1858,35000000,46704056,108,6.5,55000,1991
1859,17000000,59489799,102,6.9,75000,1991
1860,40000000,152368585,137,6.7,74000,1991
1861,20000000,38039850,93,6.3,72000,1991
1862,35589876,89325780,105,6.5,71000,1991
1863,27000000,179033791,113,6.8,51000,1991
1864,35589876,25196249,102,6.3,29000,1991
1865,24000000,41895491,137,7.5,81000,1991
1866,35589876,78500541,99,5.6,2200,1991
1867,19000000,174999005,99,6.3,52000,1991
1868,35589876,403056,238,7.6,7500,1991
1869,11000000,2807854,102,5.2,19000,1991
1870,43000000,59509925,105,7,95000,1991
1871,30000000,96888996,110,7.2,72000,1991
1872,2500000,6401336,104,7,53000,1991
1873,6788000,13878411,103,5.9,27000,1991
1874,26000000,181096164,84,6.8,102000,1991
1875,65000000,17218080,100,5.8,54000,1991
1876,30000000,74787599,132,6.7,17000,1991
1877,9000000,6153939,116,7.7,116000,1991
1878,40000000,8479793,94,5.1,23000,1991
1879,35000000,63707829,99,7,65000,1991
1880,16000000,2641357,115,7,48000,1992
1881,25000000,78656813,88,6,53000,1991
1882,23000000,86930411,85,6.9,108000,1991
1883,15000000,30102717,110,5.6,39000,1991
1884,12000000,14919570,118,7.6,34000,1991
1885,35589876,2853801,99,7.3,16000,1991
1886,35589876,2175939,98,7.8,44000,1991
1887,8000000,47624353,97,6.7,33000,1991
1888,10000000,15073942,111,6.6,20000,1991
1889,6000000,31347154,102,6.4,32000,1991
1890,25000000,43001500,108,6.7,30000,1991
1891,30000000,49114016,136,6.8,27000,1991
1892,20000000,54830779,104,6.2,34000,1991
1893,35589876,1794187,99,7.6,82000,1992
1894,3500000,2023808,129,7.7,57000,1991
1895,13000000,20560255,90,5.1,37000,1991
1896,11000000,34872033,89,4.9,43000,1991
1897,35000000,23562716,109,6.5,30000,1991
1898,28000000,29679,125,7.6,13000,1999
1899,30000000,15556340,91,4.2,44000,1991
1900,17000000,9151887,92,6,7300,1991
1901,35589876,7294835,88,7.2,5000,1991
1902,8000000,2275557,79,6.1,17000,1991
1903,14000000,43882682,132,6.6,17000,1991
1904,23000000,7434726,98,6.1,19000,1991
1905,35589876,14789113,116,6.4,13000,1991
1906,35589876,16371128,112,7.2,18000,1991
1907,35000000,14587732,115,5.8,6600,1991
1908,15000000,32704700,90,4.9,21000,1991
1909,24000000,65595485,111,6.4,19000,1991
1910,35589876,21756163,102,6.2,17000,1991
1911,35589876,28862081,95,6.7,30000,1991
1912,17000000,7241350,120,6.8,8200,1992
1913,15000000,38016380,107,6.9,27000,1991
1914,14000000,39673161,91,6.1,22000,1991
1915,35589876,545825,118,7.6,29000,2016
1916,7000000,191125,127,7,8600,1991
1917,35589876,40766041,75,6.5,24000,1991
1918,13000000,4102526,92,5.9,9800,1991
1919,29000000,22773535,118,6.7,30000,1991
1920,35589876,40991329,134,6.9,15000,1992
1921,35589876,135893,108,6.3,3100,1991
1922,35589876,2971661,102,7,6500,1991
1923,25000000,36489888,97,6.6,15000,1991
1924,25000000,33691313,101,5.9,21000,1991
1925,35589876,1277404,100,6.3,5000,1991
1926,13000000,3752428,95,4.4,5800,1991
1927,18000000,11657385,77,6.1,8800,1992
1928,13500000,26255594,108,6.2,11000,1991
1929,6000000,1193062,91,2.9,9100,1991
1930,35589876,573904,111,4,1500,1992
1931,14000000,15545943,103,5.8,9100,1991
1932,14000000,34793160,107,6.7,20000,1991
1933,23000000,829625,158,6.8,9500,1991
1934,35589876,25092802,104,6.4,10000,1991
1935,17000000,4603929,107,6.5,12000,1991
1936,22000000,11511031,98,6.5,8900,1991
1937,35589876,2603061,125,8.1,30000,1991
1938,35589876,6948859,90,4.5,9600,1991
1939,35589876,4205000,91,5.8,4200,1991
1940,23000000,20246790,104,6,8600,1991
1941,35589876,10405394,80,7.3,19000,1997
1942,35589876,7788597,88,5.8,6600,1991
1943,35589876,9689816,107,5.4,6800,1991
1944,18000000,82264675,111,6.1,15000,1991
1945,35589876,394631,94,7.4,8700,1991
1946,35589876,1008404,85,5.6,3500,1991
1947,35589876,4313473,104,7,1600,1992
1948,35589876,25682090,103,6.2,8200,1991
1949,18000000,5546827,96,5.9,8000,1991
1950,35589876,2415396,99,7.2,5800,1992
1951,2000000,78500541,97,6,4400,1991
1952,35589876,1710057,112,7.1,14000,1991
1953,10000000,25010896,99,6.6,14000,1991
1954,14000000,2735731,85,6.7,16000,1992
1955,1400000,115103,87,5.6,4700,1992
1956,35589876,8211952,101,7.1,6600,1991
1957,48000000,15565363,106,5.9,11000,1991
1958,35589876,1015007,112,7.6,20000,1991
1959,35589876,38120905,122,7,5200,1991
1960,11000000,1059071,98,6.9,9600,1991
1961,500000,90091,97,5.8,3800,1992
1962,10000000,6166819,97,6,2700,1991
1963,35589876,14143280,91,5.8,11000,1991
1964,35589876,8750400,121,7.6,3900,1991
1965,35589876,7308786,118,6.7,4800,1992
1966,26000000,12454768,115,5.8,5300,1991
1967,35589876,9804775,115,5.6,6100,1991
1968,250000,787280,85,6.4,4100,1991
1969,23000000,52487045,97,5.3,15000,1991
1970,35589876,13200170,95,7.4,6200,1992
1971,35589876,4532791,96,7.5,14000,1991
1972,5000000,19438638,94,5.3,6100,1991
1973,35589876,28738096,104,6.2,6700,1991
1974,10000000,14061361,83,6,3800,1991
1975,35589876,28277918,110,6.4,7000,1991
1976,6000000,221295,99,6.5,3800,1992
1977,35589876,706131,87,6.8,2500,1991
1978,10000000,2105078,82,6.8,2600,1994
1979,7500000,6266621,112,6.6,4700,1991
1980,35589876,271327,96,6.5,1800,1992
1981,35589876,3106559,104,6.2,6500,1992
1982,35589876,1750301,124,6.9,6100,1991
1983,17010000,24941969,96,5.8,6700,1991
1984,16400000,21082165,108,5.9,9000,1991
1985,35589876,396573,102,6.7,3300,1992
1986,8000000,18784957,103,5.7,8400,1991
1987,17000000,2865916,98,5.4,3700,1991
1988,40000000,23202444,138,6.4,5300,1991
1989,6000000,869325,107,4.1,3000,1991
1990,35589876,456127,102,4.8,1700,1991
1991,13000000,5451119,99,4.9,2100,1991
1992,8000000,10438504,115,5.9,2000,1991
1993,35589876,516431,98,7.2,6400,1991
1994,35589876,1250712,90,4.5,5400,1991
1995,35589876,11128309,89,5,4800,1991
1996,22000000,11000863,95,5.6,5400,1991
1997,35589876,524668,86,7.2,6300,1992
1998,36000000,1345903,189,6.8,3100,1991
1999,20000000,418807,111,6.3,5000,1991
2000,35589876,4076211,107,6.9,4800,1991
2001,15000000,15429177,94,5.7,5100,1991
2002,35589876,9480198,105,6.5,8000,1991
2003,35589876,2368,105,5.2,2700,1991
2004,35589876,1403033,116,6.4,2100,1992
2005,35589876,3089497,115,7.5,6800,1991
2006,35589876,4654288,95,5.4,3700,1991
2007,10000000,8667684,89,4.9,2700,1991
2008,35589876,612781,100,5.9,1500,1991
2009,10000000,9188150,88,5.6,4100,1991
2010,4000000,11276846,114,5.9,3900,1991
2011,35589876,1182273,111,5.6,2500,1991
2012,35589876,7683267,83,5.5,1900,1991
2013,35589876,179469,85,6.2,1700,1992
2014,35589876,14812144,92,6,4600,1991
2015,35589876,2120564,101,7.3,2700,1991
2016,35589876,3547684,89,5.3,1800,1991
2017,35589876,1689723,113,6.6,2300,1991
2018,16000000,14851083,115,6.5,4100,1991
2019,35589876,9915,94,6.9,3500,1992
2020,19000000,939277,96,5.1,1100,1991
2021,16000000,4409328,91,6.2,2600,1991
2022,35589876,18634643,111,6.7,2700,1991
2023,35589876,1942423,143,6.6,3600,1991
2024,18000000,1501785,98,5.6,2600,1991
2025,35589876,336396,91,6,796,1991
2026,3000000,1345015,129,7.3,2300,1991
2027,35589876,295444,95,7.1,4300,1993
2028,35589876,5136759,103,5.7,2000,1991
2029,6900000,133645,112,5.9,1500,1991
2030,35589876,516517,117,6.7,3100,1992
2031,4000000,259012,89,7.1,2700,1991
2032,6000000,78500541,96,5.4,1600,1991
2033,35589876,30964,113,6,945,1991
2034,35589876,1159578,83,4.6,1100,1991
2035,35589876,193205,158,7.2,2800,1992
2036,14000000,8906823,99,6.4,1700,1991
2037,35589876,1407309,103,7,2800,1991
2038,35589876,626057,102,7.2,10000,1991
2039,35589876,246000,106,6.4,1100,1991
2040,35589876,93292,137,7.1,2000,1991
2041,35589876,78500541,105,6.1,2600,1991
2042,35589876,6413375,104,5.6,815,1991
2043,1200000,2913644,99,8.3,943000,1992
2044,49000000,352927224,127,7,186000,1992
2045,6000000,25795897,99,6.6,74000,1992
2046,11000000,64088552,120,7.6,112000,1992
2047,40000000,75505856,112,7.7,156000,1992
2048,40000000,215862692,128,7.4,199000,1992
2049,14400000,159157447,130,8.2,385000,1992
2050,41000000,243240178,138,7.7,242000,1992
2051,40000000,132440069,128,7.3,97000,1992
2052,25000000,411006740,129,6.3,124000,1992
2053,31000000,134095253,156,8,274000,1993
2054,80000000,266892996,126,7,280000,1992
2055,10000000,50752337,104,6.6,62000,1992
2056,28000000,504050219,90,8,382000,1992
2057,31000000,231605150,100,6.4,91000,1992
2058,50000000,159814498,114,6.5,284000,1992
2059,55000000,149022650,104,6.6,108000,1992
2060,60000000,137783840,140,6.6,60000,1992
2061,35589876,62548947,112,7.3,52000,1993
2062,35589876,26341736,142,7.4,30000,1993
2063,35000000,156563139,103,6.5,80000,1992
2064,8000000,16639799,107,6.9,9500,1992
2065,16000000,48017402,107,6.4,34000,1992
2066,30000000,14110589,102,4.9,22000,1992
2067,12500000,10725228,100,7.7,98000,1992
2068,20000000,183097323,94,7,148000,1992
2069,11000000,11502976,81,7.5,166000,1993
2070,12000000,43440294,123,7.2,55000,1992
2071,10000000,4184990,134,7.3,89000,1992
2072,35589876,5471088,115,7.5,41000,1992
2073,35589876,147214049,87,5.7,68000,1992
2074,23000000,36299898,102,6,85000,1992
2075,7000000,16624456,86,5.7,41000,1992
2076,15000000,30524763,91,5.3,21000,1992
2077,31000000,9493259,143,7.5,55000,1993
2078,35589876,5013090,115,6.9,20000,1992
2079,28000000,358994850,120,6.8,318000,1992
2080,11700000,88036683,110,6.6,40000,1992
2081,15000000,2819485,121,6.9,19000,1992
2082,33000000,48169910,202,7.7,89000,1992
2083,45000000,178051587,117,6.9,106000,1992
2084,3000000,242623,104,7.5,93000,1993
2085,3000000,1829804,93,5.4,18000,1992
2086,23000000,105232691,126,7.1,54000,1992
2087,10000000,32100816,108,5.4,34000,1992
2088,8000000,21706101,124,7.5,56000,1992
2089,7000000,40693477,88,5.8,38000,1992
2090,35589876,90753806,115,6.8,78000,1992
2091,35000000,321731527,118,6.7,160000,1992
2092,16000000,13086430,125,7.2,8600,1992
2093,7000,2040920,81,6.9,64000,1993
2094,5000000,1862805,139,7.2,37000,1994
2095,8000000,17092453,100,4.9,20000,1992
2096,1000000,2038916,96,7.1,40000,1992
2097,35589876,18471850,99,6.7,28000,1992
2098,24000000,32710894,76,6.5,28000,1992
2099,26000000,94900635,102,6.1,23000,1992
2100,18000000,14715067,106,6.9,23000,1992
2101,35000000,29302121,140,6.6,22000,1992
2102,5000000,20146880,95,7.1,25000,1992
2103,35589876,7532911,111,6.8,17000,1993
2104,35589876,127956187,102,6.3,45000,1992
2105,35589876,205569,95,7.5,37000,1993
2106,6500000,29000301,84,5.3,21000,1992
2107,5000000,12534961,97,5.5,28000,1992
2108,30000000,13273595,99,4.5,14000,1993
2109,40000000,58662452,89,4.9,42000,1992
2110,24000000,22518097,100,5.8,21000,1992
2111,35589876,25105517,101,6.9,19000,1992
2112,15000000,44065653,84,5.9,46000,1992
2113,35589876,78500541,95,6.4,13000,1994
2114,900000,6980986,92,4.3,7900,1993
2115,35589876,14796494,90,5.5,9100,1992
2116,35000000,4651977,114,7,13000,1992
2117,35589876,11749595,94,7.2,26000,1993
2118,12000000,37170057,92,6.1,15000,1992
2119,4000000,5378172,94,7.2,15000,1993
2120,20000000,9223441,101,6.5,8500,1992
2121,7000000,5430822,90,6.2,13000,1992
2122,8000000,3560469,84,5.4,10000,1993
2123,43000000,23278931,118,5.1,31000,1992
2124,35589876,175340,94,6.8,38000,1992
2125,47000000,7191399,154,6.5,29000,1992
2126,10000000,15164458,112,7,4100,1992
2127,42000000,131052444,117,5.5,27000,1992
2128,18000000,2827107,127,7.2,9500,1992
2129,35589876,8403433,95,5.2,5900,1992
2130,35589876,17180393,101,5.1,8000,1993
2131,40000000,45500797,106,6,22000,1992
2132,25000000,35208854,96,5.8,17000,1992
2133,15000000,22660758,119,6.8,15000,1992
2134,45000000,70611210,87,4.3,39000,1992
2135,20000000,4943279,112,6.2,9500,1992
2136,35589876,57138719,111,6.3,15000,1992
2137,30000000,7286388,129,7.3,21000,1993
2138,32000000,28590665,124,5.9,14000,1992
2139,35589876,1543112,105,7.1,11000,1992
2140,25000000,10736401,88,6.2,11000,1992
2141,18000000,21591728,99,5.7,7000,1992
2142,8000000,6739141,95,5.9,28000,1993
2143,18000000,8669847,94,5.9,4100,1992
2144,14000000,2034470,88,5.4,4400,1992
2145,900000,16270600,91,6.9,20000,1992
2146,20000000,11390479,124,6.3,16000,1992
2147,35589876,8442162,72,5.8,4900,1992
2148,40000000,14358033,99,6,23000,1992
2149,5000000,4058564,101,7,11000,1992
2150,30000000,17129026,110,5.4,15000,1992
2151,2000000,21744201,105,7.1,17000,1993
2152,35589876,23369283,108,6.1,13000,1992
2153,12000000,2280148,101,7.5,11000,1992
2154,7500000,13272113,98,6.1,7100,1992
2155,17000000,4836637,98,7,7000,1992
2156,35589876,5603158,160,7.1,9500,1992
2157,35589876,2001124,95,5.4,5300,1992
2158,10000000,21142815,102,5.9,10000,1992
2159,35589876,43838238,132,6.4,9400,1992
2160,10000000,40227006,89,5.5,7200,1992
2161,20000000,10555619,108,7.5,28000,1992
2162,14000000,13249535,101,6.3,10000,1992
2163,35589876,754935,92,5.7,13000,1992
2164,10000000,14356479,95,6.3,8600,1992
2165,29000000,5519569,126,6.4,2600,1992
2166,42000000,19507345,119,6.5,22000,1992
2167,4000000,1373196,98,6.8,5400,1992
2168,12000000,32574382,85,7.7,51000,1992
2169,35589876,1605437,105,7.6,9300,1993
2170,35589876,277845,112,6,3000,1993
2171,40000000,20883046,108,6,10000,1992
2172,35589876,2287928,90,4.2,874,1992
2173,35589876,78500541,89,6,2200,1995
2174,14000000,3052738,100,5.8,1800,1992
2175,10000000,1100218,95,6.6,2100,1992
2176,50000000,46666502,112,5.9,15000,1992
2177,22000000,9011574,101,6,7300,1992
2178,35589876,5418216,109,7.1,9700,1994
2179,250000,78500541,93,6.7,1600,1992
2180,9000000,923418,116,6.1,8100,1993
2181,5000000,1055987,103,6.8,6300,1992
2182,5000000,1526697,108,7.2,8500,1992
2183,35589876,4479470,102,7,13000,1992
2184,35589876,7306242,117,6.3,1900,1992
2185,35589876,78500541,92,7.5,4300,1993
2186,35589876,256249,93,7.1,3400,1992
2187,18000000,12282994,110,5.6,3600,1992
2188,3000000,390152,105,6.6,3200,1992
2189,3330000,4814619,135,7.4,5200,1992
2190,35589876,20194,89,6.6,2600,1993
2191,35589876,1342613,101,6.6,3700,1992
2192,10000000,384048,113,6.7,3200,1993
2193,35589876,19930973,115,5.9,9300,1992
2194,35589876,78500541,139,6.6,745,1998
2195,40000000,8251071,120,4.5,2800,1992
2196,130000,78500541,107,5.1,950,1993
2197,35589876,22697691,105,5.6,7700,1992
2198,35589876,1253106,182,7.8,3000,1992
2199,15000000,3067917,99,6.5,3500,1992
2200,18000000,6375979,100,6.1,3100,1992
2201,15500000,6742168,104,6.4,5200,1992
2202,35589876,4790801,97,7,2800,1993
2203,35589876,4906900,117,6.3,1100,1992
2204,27000000,14683921,132,6.5,4900,1992
2205,35589876,21202099,91,5.8,3500,1992
2206,35589876,28791,106,7.6,4000,1994
2207,18000000,1014726,105,6.6,3800,1993
2208,43000000,13351357,119,5.9,4500,1992
2209,10000000,8359717,104,6.5,11000,1999
2210,35589876,2517600,98,3.7,2700,1992
2211,22769,692585,81,6.5,2900,1992
2212,3000000,143010,105,7.2,4100,1992
2213,800000,114516,97,5.5,2200,1993
2214,15000000,6132924,107,5.7,2500,1992
2215,35589876,611703,107,7.5,6700,1993
2216,20000000,6202756,105,5.8,4600,1992
2217,18000000,11124511,103,5.6,2000,1992
2218,35589876,1557771,100,6.3,1200,1992
2219,35589876,24672,110,7.4,1000,2019
2220,35589876,52431,114,7.3,4400,1992
2221,30000000,4096030,100,4.7,3000,1992
2222,38000,78500541,100,6.8,950,1993
2223,35589876,918239,80,7.1,4100,1992
2224,35589876,1659542,93,5.3,1600,1992
2225,35589876,78500541,83,6.4,4200,1997
2226,35589876,3206714,105,5.2,1500,1992
2227,35589876,422503,113,5.8,1100,1992
2228,35589876,78500541,99,5.2,683,1993
2229,35589876,2806881,109,7.1,3100,1993
2230,24000000,608866,90,5,2100,1993
2231,2700000,1723319,106,6.8,2600,1992
2232,35589876,2791515,91,5.8,1500,1992
2233,35589876,2922094,105,6.1,1100,1992
2234,35589876,1102469,110,5.4,2100,1992
2235,35589876,4030793,96,5.8,1200,1992
2236,35589876,3104545,78,5.5,2500,1992
2237,35589876,1514114,110,6.6,1300,1992
2238,35589876,9481984,127,6.4,4500,1993
2239,35589876,22765,85,7.4,3000,1993
2240,35589876,78500541,109,6.8,6600,1993
2241,35589876,1434174,112,5.7,876,1993
2242,13000000,3721911,89,5.1,1600,1992
2243,25000000,56505065,130,7.8,132000,1993
2244,35589876,34348443,101,7.8,82000,1993
2245,63000000,1033928303,127,8.1,894000,1993
2246,6900000,7993039,102,7.6,171000,1993
2247,22000000,322161245,195,8.9,1200000,1994
2248,13000000,13088850,119,7.9,212000,1993
2249,35589876,1769305,132,7.8,36000,1994
2250,20000000,35739755,104,6.7,119000,1993
2251,22000000,17287898,121,7.8,132000,1993
2252,11000000,10032765,118,7.7,221000,1994
2253,28000000,44947705,96,6.9,106000,1993
2254,30000000,63848322,144,7.9,206000,1993
2255,25000000,441286195,125,7,252000,1993
2256,44000000,368875760,130,7.8,275000,1993
2257,57000000,58055768,115,6.7,163000,1993
2258,35589876,117270765,94,5.6,58000,1993
2259,25000000,40903593,113,7.6,177000,1993
2260,45000000,195268056,141,6.6,81000,1993
2261,42000000,270248367,154,6.8,124000,1993
2262,85000000,137298489,130,6.4,141000,1993
2263,38000000,57319029,107,5.6,50000,1993
2264,14600000,71074049,101,8,589000,1993
2265,26000000,206678440,125,7.7,229000,1994
2266,48000000,20915465,104,4.1,50000,1993
2267,21000000,227927165,105,6.8,165000,1993
2268,70000000,255000211,113,6.4,122000,1993
2269,7000000,40185556,121,7.6,81000,1994
2270,18000000,91491247,76,8,306000,1993
2271,10000000,56500758,103,6.1,26000,1993
2272,35000000,4496583,180,8,29000,1993
2273,13000000,65796862,133,8.1,163000,1994
2274,32000000,36733909,120,7.1,53000,1993
2275,47000000,48919043,94,6.8,84000,1993
2276,38000000,266614059,117,6,66000,1993
2277,40000000,176997168,128,7.2,96000,1993
2278,34000000,32255440,139,7.2,56000,1993
2279,3500000,27912072,97,7.5,54000,1993
2280,25000000,10769960,271,7.6,27000,1993
2281,30000000,53898845,105,6.4,52000,1993
2282,35589876,41833324,84,6.9,43000,1993
2283,18000000,31181347,101,7.3,38000,1993
2284,20000000,153698625,112,6,71000,1993
2285,22000000,10696210,104,4.1,47000,1993
2286,15000000,23237911,134,7.8,69000,1993
2287,18000000,74189677,97,6.2,46000,1993
2288,15000000,19885552,109,6.5,23000,1993
2289,14000000,154856263,98,7,96000,1993
2290,28000000,63270710,110,6.8,50000,1993
2291,9000000,2395231,117,6.7,52000,1993
2292,35589876,23261580,98,7.2,56000,1993
2293,40000000,116300000,107,5,30000,1993
2294,35589876,22881563,114,7.5,59000,1993
2295,33000000,21274717,88,5.3,52000,1993
2296,20000000,11585483,93,6.5,36000,1993
2297,25000000,133752825,86,6.6,86000,1993
2298,11000000,22549338,111,7.3,46000,1993
2299,6000000,13609396,89,5.8,17000,1993
2300,13000000,27979399,84,6.2,45000,1993
2301,35589876,4104962,115,7.3,49000,1993
2302,35589876,1341154,94,7.9,93000,1993
2303,35589876,70172621,103,7,45000,1993
2304,30000000,135130999,138,7.5,76000,1993
2305,900000,8556940,92,4.8,25000,1993
2306,20000000,46405336,107,6.4,24000,1993
2307,15000000,39100956,118,7.3,18000,1993
2308,35589876,6110979,188,7.7,43000,1993
2309,35589876,36448400,95,5.8,18000,1993
2310,30000000,24107867,102,5.9,41000,1993
2311,2000000,54207,97,5.9,14000,1994
2312,12000000,7266383,109,7.4,37000,1993
2313,3000000,15935068,87,4.2,29000,1993
2314,13000000,9532895,99,6.9,10000,1993
2315,17000000,60613008,87,6.4,37000,1993
2316,25000000,57405220,92,5,18000,1993
2317,15000000,118243066,89,4.9,26000,1993
2318,1500000,418961,96,6.5,20000,1994
2319,2000000,621392,94,6.7,28000,1994
2320,35000000,18635620,115,6.5,9900,1993
2321,40000000,48198019,95,6.2,79000,1993
2322,35589876,30038362,109,6.1,26000,1993
2323,35589876,1796389,107,4.7,12000,1993
2324,11500000,3275585,110,6.6,13000,1994
2325,35000000,107198790,129,6.3,43000,1993
2326,30000000,11146270,96,6.2,13000,1993
2327,21000000,42273609,96,4.8,32000,1993
2328,13000000,428868,87,6,17000,1994
2329,35589876,152972,134,7.5,32000,1993
2330,2600000,2850263,91,6.3,6500,1993
2331,14000000,1029721,116,6.4,7400,1993
2332,35589876,14543394,109,6.3,24000,1993
2333,40000000,6265311,140,6.9,22000,1994
2334,35589876,12324660,90,6.1,7700,1993
2335,35000000,4858139,123,6.1,16000,1994
2336,14000000,63513743,120,7,29000,1993
2337,14000000,27515786,109,6.1,13000,1993
2338,11000000,32901136,139,7.7,16000,1993
2339,35589876,322975,101,7.1,4500,1994
2340,7500000,18898806,102,6.8,13000,1993
2341,6000000,5635204,76,7.8,45000,1993
2342,11000000,29296,80,6.4,6700,1994
2343,35589876,5632086,112,6.8,16000,1993
2344,25000000,16589540,104,7,17000,1993
2345,35589876,15185672,120,6.3,24000,1993
2346,800000,1001437,114,7,2500,1993
2347,12000000,6405918,112,6.8,20000,1993
2348,35589876,24760338,115,6.7,28000,1993
2349,4000000,6122607,171,8.1,26000,1993
2350,35589876,18994653,98,6.1,23000,1993
2351,21000000,12526677,110,6.6,16000,1993
2352,22000000,25842377,131,7.3,18000,1994
2353,19000000,112547,142,7.3,42000,1994
2354,15000000,22189039,94,5.7,22000,1993
2355,8000000,1214231,103,7.4,7800,1993
2356,19000000,11081586,97,6.2,21000,1993
2357,35589876,9317021,72,6.1,14000,1993
2358,8000000,2502551,98,7,21000,1993
2359,15000000,23032565,112,6.5,9700,1993
2360,12000000,5086909,95,4.6,3400,1993
2361,35589876,6995302,122,7.1,22000,1993
2362,13500000,11330911,104,7.3,41000,1993
2363,35589876,4916135,87,5.1,7700,1993
2364,7000000,12741891,97,4.8,13000,1993
2365,35589876,659810,107,7.1,33000,1996
2366,6500000,24103594,108,6.2,8000,1993
2367,22000000,104942695,111,5.1,16000,1993
2368,35589876,256264,103,6.2,4500,1994
2369,35589876,1498795,101,6.8,9000,1993
2370,15000000,10611160,122,6,16000,1993
2371,6000000,3283371,99,6.6,5900,1993
2372,15000000,27804899,117,6.8,11000,1993
2373,35589876,3267313,92,6.5,2000,1994
2374,22000000,10340263,96,4.4,28000,1993
2375,20000000,8016708,100,5.2,7800,1993
2376,35589876,7839327,91,5.8,7000,1993
2377,6000000,17953778,89,6.3,9000,1993
2378,13000000,2570550,90,5.1,2100,1993
2379,33000000,5864949,140,6.8,14000,1994
2380,9000000,14904910,97,6.6,5300,1993
2381,13000000,6582052,71,6.5,5200,1993
2382,10000000,18289763,111,5.5,4200,1993
2383,35589876,9709451,126,6.2,5000,1993
2384,35589876,140081992,114,6.2,20000,1993
2385,8000000,1708873,106,4.4,7100,1994
2386,35589876,12440858,91,5.6,5600,1993
2387,7000000,6608687,101,5.6,5400,1993
2388,25000000,669276,90,7.1,3700,1995
2389,12000000,3335984,85,5.4,4300,1993
2390,3000000,3902679,98,5.4,5700,1993
2391,35589876,1700992,104,7.4,8300,1994
2392,35589876,2019581,114,6.5,13000,1994
2393,35589876,1614784,98,5.7,1900,1993
2394,11000000,14694904,85,7.5,16000,2001
2395,10000000,4348572,84,3.8,8900,1993
2396,35589876,6484246,105,5.5,8500,1993
2397,35589876,413479,85,4.3,5400,1995
2398,35589876,3418141,95,4.9,2900,1993
2399,10500000,810455,140,7.3,7800,1993
2400,10000000,1261210,108,5.6,3600,1993
2401,10000000,18369,98,4,3000,1993
2402,12000000,1677807,104,7.1,3000,1993
2403,35589876,12890752,108,6.6,3400,1993
2404,12000000,22866222,107,5.6,4900,1993
2405,1000000,6933459,106,7.6,14000,1993
2406,35589876,20208496,108,5.6,13000,1993
2407,14000000,8041049,113,6,2800,1993
2408,35589876,102780,96,6.6,1800,1994
2409,11000000,16696219,106,6.2,8000,1994
2410,35589876,595505,106,6.7,464,1994
2411,10000000,18225518,123,5.9,4300,1994
2412,6000000,12974636,87,5.2,4100,1993
2413,25000000,8345845,114,5.8,6900,1993
2414,850000,1753979,83,3.6,3700,1993
2415,13000000,3125424,98,5.9,3200,1993
2416,14000000,40689691,97,4.1,8300,1993
2417,11900000,596,134,7.3,5100,1993
2418,35589876,225278,100,7.3,7400,1994
2419,35589876,5145823,99,6.5,3900,1993
2420,11000000,1039824,100,5.7,3700,1993
2421,35589876,1038959,95,5.6,1600,1994
2422,25000000,2438031,93,3.9,5000,1993
2423,35589876,3741869,103,6.8,6100,1993
2424,35589876,101071,78,6.4,3000,1995
2425,2500000,764724,95,5.7,2200,1993
2426,35589876,322871,109,6.2,2600,1993
2427,35589876,735162,101,6.4,1100,1994
2428,35589876,61274,102,5.3,1100,1995
2429,35589876,9745803,96,5.7,8600,1993
2430,35589876,3246063,87,5.5,4100,1993
2431,35589876,17952857,100,5.2,3700,1993
2432,8000000,737548,96,5.4,3000,1994
2433,19000000,2119994,92,5.9,1900,1993
2434,5000000,2970,97,4.5,1900,1994
2435,35589876,78500541,79,7.3,2100,1993
2436,999999,233824,88,7.2,3900,1994
2437,1800000,78500541,93,6,1900,1993
2438,9000000,10058318,92,5,5700,1993
2439,35589876,1497222,102,5.8,1600,1993
2440,18000000,1640220,96,5.7,1400,1993
2441,35589876,296081,99,6.2,2000,1993
2442,8000000,1884814,99,6,2400,1993
2443,25000000,28817291,142,9.3,2400000,1994
2444,8000000,213928762,154,8.9,1900000,1994
2445,55000000,678226133,142,8.8,1900000,1994
2446,35589876,19552639,110,8.5,1100000,1994
2447,115000000,378882411,141,7.2,243000,1994
2448,45000000,1083720877,88,8.5,970000,1994
