,budget,gross,runtime,score,votes,Year_Released
146,26000000,636796,107,6.5,5700,1982
147,35589876,26890068,124,7,13000,1981
148,35589876,31206251,97,7.2,14000,1981
149,10000000,12850276,108,6.3,7500,1981
150,8000000,78500541,93,6.1,4900,1981
151,5000000,19905359,99,6.4,18000,1981
152,35589876,37000000,88,6.2,7100,1981
153,35589876,35610100,122,6.3,5600,1981
154,8500000,29916207,94,5.6,7600,1981
155,35589876,237000,87,5.9,1300,1981
156,35589876,17583634,112,7.1,9900,1981
157,17000000,10626725,115,6.3,9400,1981
158,35589876,5165432,86,5.5,4400,1981
159,8600000,8124257,167,7.5,7600,1981
160,35589876,2447576,104,5.5,5700,1981
161,35589876,15578237,103,6.2,4800,1981
162,35589876,110014,117,7.2,12000,1982
163,35589876,5229643,92,5.8,2600,1982
164,35589876,29200000,125,6.7,5800,1981
165,800000,1118634,84,6,2400,1981
166,35589876,78500541,93,6.2,4100,1981
167,20000000,18826490,98,5.4,2600,1981
168,6000000,9566593,92,5.6,2600,1981
169,35589876,20259961,88,5.5,4500,1981
170,35589876,14923752,112,6,891,1981
171,35589876,12042,101,6.3,1300,1981
172,250000,78500541,96,4.9,3600,1981
173,8000000,26154211,93,5.1,4900,1981
174,22000000,9171289,108,6.5,5300,1982
175,1500000,78500541,96,7.2,4400,1981
176,18000000,12617845,98,5.1,2000,1981
177,14000000,2022771,118,5.2,1300,1981
178,35589876,1169875,88,5.6,2400,1981
179,3800000,78500541,106,5.5,3600,1981
180,2700000,3256082,103,6.8,1100,1982
181,35589876,14492125,117,5.9,1600,1981
182,10000000,7258543,96,6.5,4500,1981
183,11000000,31261269,94,6.1,2900,1981
184,35589876,2863642,93,7,3600,1981
185,12000000,2154696,78,4.3,1300,1981
186,35589876,11809387,94,5.6,829,1981
187,3500000,17569027,100,5,761,1981
188,35589876,1976198,94,6.8,1400,1981
189,13000000,8206145,119,7.3,2700,1982
190,46000000,5200986,140,2.7,659,1982
191,14000000,4454295,87,5.5,1700,1981
192,12000000,3702028,100,5.6,1100,1981
193,16000000,10851261,116,5.4,1100,1981
194,35589876,25524778,120,6.5,1300,1981
195,24000000,2004742,107,5.2,928,1981
196,35589876,18838812,94,4.9,920,1981
197,2000000,1791147,90,5.5,384,1981
198,35589876,78500541,82,2.9,674,1981
199,35589876,16000000,96,5,1200,1981
200,35589876,6892098,112,5.8,782,1982
201,35589876,78500541,100,5.1,101,1981
202,35589876,12000000,91,5.1,499,1981
203,35589876,17110,129,6.9,1100,1982
204,35589876,1622898,94,6.3,228,1981
205,4500000,27092880,90,7.2,98000,1982
206,28000000,41676878,117,8.1,710000,1982
207,15000000,19632053,109,8.1,382000,1982
208,20000000,68851475,129,6.9,141000,1982
209,10500000,792910554,115,7.8,381000,1982
210,15000000,125212904,93,7.7,234000,1982
211,7500000,129795554,124,7,52000,1982
212,13200000,15171476,115,4.4,34000,1982
213,50000000,57063861,127,6.6,41000,1982
214,10700000,77142388,114,7.3,148000,1982
215,12000000,78868508,96,6.9,73000,1982
216,11200000,78912963,113,7.7,115000,1982
217,35589876,5588800,100,4.9,2500,1982
218,35589876,5829781,92,6.3,8100,1982
219,12000000,30036000,150,7.6,44000,1983
220,22000000,52767889,191,8,220000,1983
221,21000000,177200000,116,7.4,100000,1982
222,17000000,33000525,96,6.8,115000,1982
223,7000000,14665733,82,7.6,37000,1982
224,20000000,2536242,109,7.8,94000,1983
225,17000000,125052686,99,6.8,179000,1982
226,8000000,14056528,118,6.2,22000,1982
227,8000000,21028755,120,6.9,44000,1982
228,3500000,20659423,102,7.3,8200,1982
229,12000000,22265763,95,8,78000,1982
230,18000000,7000000,118,6.2,20000,1982
231,6000000,6795771,188,8.1,59000,1982
232,2300000,36690067,95,5.7,49000,1982
233,18000000,46708276,136,6,26000,1982
234,2500000,14400000,98,5,45000,1982
235,15000000,41630431,93,7.2,63000,1982
236,16000000,53993738,129,7.7,37000,1982
237,300000,2032311,85,6.1,9300,1983
238,35589876,16897768,98,4.9,6500,1982
239,35589876,20225989,108,5.9,2800,1982
240,17000000,29712172,136,7.2,25000,1982
241,5000000,14099953,110,7.1,19000,1982
242,35000000,69701637,114,6,10000,1982
243,13000000,10278575,115,7.1,20000,1983
244,35589876,21095638,106,6.6,15000,1982
245,35589876,4968000,98,5.7,3900,1982
246,35589876,28229046,134,7.6,20000,1982
247,3500000,6455330,92,7.4,25000,1982
248,9000000,13277558,125,6.7,15000,1983
249,15000000,27150534,85,6.2,50000,1982
250,17000000,47118057,102,5.8,11000,1982
251,425000,10604986,91,6,7800,1983
252,10000000,6110670,117,7.1,15000,1982
253,35589876,39103425,99,5.6,5700,1982
254,2000000,16100000,89,6,15000,1982
255,4500000,10490791,103,5.5,5300,1982
256,20000000,5675599,99,3.7,3400,1982
257,16000000,5672311,128,6.3,2600,1982
258,9000000,18196170,88,6.9,21000,1982
259,5000000,12534817,104,5.5,11000,1982
260,9500000,14000000,122,7.7,19000,1982
261,35589876,78500541,140,7.3,7300,1983
262,35589876,11378339,104,4.9,1100,1982
263,11300000,5301539,120,6.7,3500,1982
264,35589876,19282134,116,7,13000,1982
265,35589876,7400000,103,6.5,2000,1982
266,750000,78500541,83,3.6,1700,1982
267,35589876,1515578,111,5.9,1500,1982
268,13000000,5005245,140,6.5,2200,1982
269,35589876,30688860,96,5.5,3000,1982
270,35589876,20123620,92,7.4,9000,1982
271,10000000,5979947,93,6.1,4300,1982
272,800000,2270,85,3.9,2300,1982
273,35589876,11897978,113,6.9,2500,1982
274,2000000,4484991,122,6.6,8200,1982
275,35589876,7742572,98,5.6,3700,1982
276,850000,840958,109,7.2,4200,1983
277,6000000,2666873,125,6.4,3000,1983
278,6000000,9056073,96,5,9800,1982
279,35589876,1054328,91,6,1800,1982
280,22000000,6118683,108,6.4,6100,1982
281,35589876,15782759,101,6,1900,1982
282,35589876,9077269,88,6.6,19000,1982
283,35589876,13253583,97,6.5,2000,1982
284,15000000,36821203,116,5.5,2700,1982
